g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
69,"Tue, Mar 28, 1995",Portland Trail Blazers,W,34,35,102,91,ATL,ATL,1995
70,"Thu, Mar 30, 1995",Golden State Warriors,W,35,35,108,80,ATL,ATL,1995
71,"Fri, Mar 31, 1995",Los Angeles Lakers,L,35,36,107,121,ATL,ATL,1995
72,"Sun, Apr 2, 1995",Seattle SuperSonics,L,35,37,83,105,ATL,ATL,1995
73,"Wed, Apr 5, 1995",Cleveland Cavaliers,W,36,37,96,87,ATL,ATL,1995
74,"Fri, Apr 7, 1995",Indiana Pacers,W,37,37,102,90,ATL,ATL,1995
75,"Sun, Apr 9, 1995",Milwaukee Bucks,L,37,38,99,102,ATL,ATL,1995
76,"Tue, Apr 11, 1995",Philadelphia 76ers,W,38,38,110,106,ATL,ATL,1995
77,"Wed, Apr 12, 1995",Washington Bullets,W,39,38,90,82,ATL,ATL,1995
78,"Fri, Apr 14, 1995",Cleveland Cavaliers,L,39,39,70,83,ATL,ATL,1995
79,"Sun, Apr 16, 1995",Charlotte Hornets,W,40,39,94,93,ATL,ATL,1995
80,"Wed, Apr 19, 1995",New Jersey Nets,W,41,39,104,99,ATL,ATL,1995
81,"Fri, Apr 21, 1995",Detroit Pistons,W,42,39,128,111,ATL,ATL,1995
82,"Sun, Apr 23, 1995",Indiana Pacers,L,42,40,87,103,ATL,ATL,1995
1,"Fri, Nov 3, 1995",Indiana Pacers,L,0,1,106,111,ATL,ATL,1996
2,"Sat, Nov 4, 1995",Orlando Magic,W,1,1,124,91,ATL,ATL,1996
3,"Mon, Nov 6, 1995",Utah Jazz,L,1,2,96,105,ATL,ATL,1996
4,"Wed, Nov 8, 1995",Los Angeles Clippers,W,2,2,100,92,ATL,ATL,1996
5,"Thu, Nov 9, 1995",Golden State Warriors,W,3,2,125,121,ATL,ATL,1996
6,"Sat, Nov 11, 1995",Dallas Mavericks,W,4,2,113,100,ATL,ATL,1996
7,"Tue, Nov 14, 1995",Charlotte Hornets,W,5,2,111,104,ATL,ATL,1996
8,"Fri, Nov 17, 1995",Miami Heat,L,5,3,88,91,ATL,ATL,1996
9,"Sun, Nov 19, 1995",Sacramento Kings,W,6,3,108,94,ATL,ATL,1996
10,"Tue, Nov 21, 1995",Denver Nuggets,L,6,4,99,107,ATL,ATL,1996
11,"Wed, Nov 22, 1995",Phoenix Suns,L,6,5,112,117,ATL,ATL,1996
12,"Sat, Nov 25, 1995",Toronto Raptors,W,7,5,114,102,ATL,ATL,1996
13,"Tue, Nov 28, 1995",New York Knicks,W,8,5,102,97,ATL,ATL,1996
14,"Wed, Nov 29, 1995",Philadelphia 76ers,W,9,5,106,81,ATL,ATL,1996
15,"Fri, Dec 1, 1995",Dallas Mavericks,L,9,6,98,106,ATL,ATL,1996
16,"Sat, Dec 2, 1995",Detroit Pistons,L,9,7,96,104,ATL,ATL,1996
17,"Wed, Dec 6, 1995",Washington Bullets,L,9,8,79,96,ATL,ATL,1996
18,"Thu, Dec 7, 1995",San Antonio Spurs,L,9,9,102,104,ATL,ATL,1996
19,"Sat, Dec 9, 1995",New York Knicks,L,9,10,92,101,ATL,ATL,1996
20,"Sun, Dec 10, 1995",Boston Celtics,W,10,10,108,103,ATL,ATL,1996
21,"Tue, Dec 12, 1995",Minnesota Timberwolves,L,10,11,78,85,ATL,ATL,1996
22,"Thu, Dec 14, 1995",Chicago Bulls,L,10,12,108,127,ATL,ATL,1996
23,"Sat, Dec 16, 1995",Denver Nuggets,W,11,12,95,86,ATL,ATL,1996
24,"Fri, Dec 22, 1995",New Jersey Nets,W,12,12,94,91,ATL,ATL,1996
25,"Sat, Dec 23, 1995",Milwaukee Bucks,L,12,13,111,115,ATL,ATL,1996
26,"Tue, Dec 26, 1995",Los Angeles Clippers,W,13,13,94,88,ATL,ATL,1996
27,"Fri, Dec 29, 1995",Golden State Warriors,L,13,14,96,117,ATL,ATL,1996
28,"Sat, Dec 30, 1995",Chicago Bulls,L,13,15,93,95,ATL,ATL,1996
29,"Tue, Jan 2, 1996",Seattle SuperSonics,L,13,16,88,111,ATL,ATL,1996
30,"Thu, Jan 4, 1996",Toronto Raptors,W,14,16,104,101,ATL,ATL,1996
31,"Sat, Jan 6, 1996",Charlotte Hornets,L,14,17,90,96,ATL,ATL,1996
32,"Tue, Jan 9, 1996",Sacramento Kings,W,15,17,104,88,ATL,ATL,1996
33,"Thu, Jan 11, 1996",Toronto Raptors,W,16,17,87,79,ATL,ATL,1996
34,"Sat, Jan 13, 1996",Boston Celtics,W,17,17,108,105,ATL,ATL,1996
35,"Mon, Jan 15, 1996",Detroit Pistons,W,18,17,96,88,ATL,ATL,1996
36,"Wed, Jan 17, 1996",Indiana Pacers,W,19,17,102,93,ATL,ATL,1996
37,"Fri, Jan 19, 1996",Philadelphia 76ers,W,20,17,82,77,ATL,ATL,1996
38,"Sat, Jan 20, 1996",Miami Heat,W,21,17,98,78,ATL,ATL,1996
39,"Mon, Jan 22, 1996",Houston Rockets,W,22,17,105,96,ATL,ATL,1996
40,"Tue, Jan 23, 1996",Cleveland Cavaliers,W,23,17,84,72,ATL,ATL,1996
41,"Fri, Jan 26, 1996",Orlando Magic,W,24,17,96,84,ATL,ATL,1996
42,"Tue, Jan 30, 1996",Indiana Pacers,L,24,18,90,107,ATL,ATL,1996
43,"Wed, Jan 31, 1996",Phoenix Suns,L,24,19,84,120,ATL,ATL,1996
44,"Fri, Feb 2, 1996",Orlando Magic,L,24,20,95,108,ATL,ATL,1996
45,"Sun, Feb 4, 1996",Charlotte Hornets,W,25,20,106,104,ATL,ATL,1996
46,"Wed, Feb 7, 1996",Miami Heat,L,25,21,89,101,ATL,ATL,1996
47,"Thu, Feb 8, 1996",Washington Bullets,W,26,21,98,92,ATL,ATL,1996
48,"Wed, Feb 14, 1996",Los Angeles Lakers,L,26,22,86,87,ATL,ATL,1996
49,"Fri, Feb 16, 1996",Vancouver Grizzlies,W,27,22,110,100,ATL,ATL,1996
50,"Sun, Feb 18, 1996",Portland Trail Blazers,W,28,22,93,90,ATL,ATL,1996
51,"Mon, Feb 19, 1996",Seattle SuperSonics,L,28,23,94,102,ATL,ATL,1996
52,"Thu, Feb 22, 1996",Chicago Bulls,L,28,24,91,96,ATL,ATL,1996
53,"Fri, Feb 23, 1996",New York Knicks,W,29,24,108,97,ATL,ATL,1996
54,"Sun, Feb 25, 1996",Minnesota Timberwolves,W,30,24,92,76,ATL,ATL,1996
55,"Wed, Feb 28, 1996",Portland Trail Blazers,W,31,24,90,88,ATL,ATL,1996
56,"Fri, Mar 1, 1996",Cleveland Cavaliers,W,32,24,74,68,ATL,ATL,1996
57,"Sat, Mar 2, 1996",Milwaukee Bucks,L,32,25,106,110,ATL,ATL,1996
58,"Mon, Mar 4, 1996",Detroit Pistons,L,32,26,93,99,ATL,ATL,1996
59,"Thu, Mar 7, 1996",Cleveland Cavaliers,W,33,26,83,72,ATL,ATL,1996
60,"Fri, Mar 8, 1996",Milwaukee Bucks,W,34,26,94,91,ATL,ATL,1996
61,"Sun, Mar 10, 1996",Washington Bullets,L,34,27,91,99,ATL,ATL,1996
62,"Tue, Mar 12, 1996",Utah Jazz,W,35,27,115,89,ATL,ATL,1996
63,"Thu, Mar 14, 1996",Houston Rockets,L,35,28,106,114,ATL,ATL,1996
64,"Sat, Mar 16, 1996",San Antonio Spurs,L,35,29,92,119,ATL,ATL,1996
65,"Wed, Mar 20, 1996",Vancouver Grizzlies,W,36,29,98,93,ATL,ATL,1996
66,"Fri, Mar 22, 1996",Charlotte Hornets,W,37,29,117,92,ATL,ATL,1996
67,"Sat, Mar 23, 1996",Detroit Pistons,W,38,29,92,84,ATL,ATL,1996
68,"Tue, Mar 26, 1996",Toronto Raptors,W,39,29,114,111,ATL,ATL,1996
69,"Thu, Mar 28, 1996",Chicago Bulls,L,39,30,80,111,ATL,ATL,1996
70,"Fri, Mar 29, 1996",Los Angeles Lakers,L,39,31,89,102,ATL,ATL,1996
71,"Sun, Mar 31, 1996",Boston Celtics,W,40,31,93,92,ATL,ATL,1996
72,"Tue, Apr 2, 1996",Boston Celtics,W,41,31,109,89,ATL,ATL,1996
73,"Thu, Apr 4, 1996",Washington Bullets,L,41,32,110,113,ATL,ATL,1996
74,"Fri, Apr 5, 1996",New Jersey Nets,W,42,32,82,70,ATL,ATL,1996
75,"Sat, Apr 6, 1996",Philadelphia 76ers,L,42,33,99,100,ATL,ATL,1996
76,"Mon, Apr 8, 1996",Indiana Pacers,L,42,34,95,97,ATL,ATL,1996
77,"Fri, Apr 12, 1996",Milwaukee Bucks,W,43,34,104,97,ATL,ATL,1996
78,"Sun, Apr 14, 1996",New Jersey Nets,W,44,34,99,90,ATL,ATL,1996
79,"Tue, Apr 16, 1996",Cleveland Cavaliers,L,44,35,77,80,ATL,ATL,1996
80,"Thu, Apr 18, 1996",Orlando Magic,L,44,36,104,119,ATL,ATL,1996
81,"Sat, Apr 20, 1996",New Jersey Nets,W,45,36,121,99,ATL,ATL,1996
82,"Sun, Apr 21, 1996",Miami Heat,W,46,36,104,92,ATL,ATL,1996
1,"Fri, Nov 1, 1996",Miami Heat,L,0,1,81,94,ATL,ATL,1997
2,"Sat, Nov 2, 1996",Detroit Pistons,L,0,2,78,90,ATL,ATL,1997
3,"Mon, Nov 4, 1996",Portland Trail Blazers,W,1,2,94,76,ATL,ATL,1997
4,"Tue, Nov 5, 1996",Seattle SuperSonics,W,2,2,117,95,ATL,ATL,1997
5,"Thu, Nov 7, 1996",Sacramento Kings,W,3,2,91,87,ATL,ATL,1997
6,"Sun, Nov 10, 1996",Los Angeles Lakers,L,3,3,85,92,ATL,ATL,1997
7,"Tue, Nov 12, 1996",Cleveland Cavaliers,W,4,3,87,83,ATL,ATL,1997
8,"Wed, Nov 13, 1996",Boston Celtics,L,4,4,85,103,ATL,ATL,1997
9,"Fri, Nov 15, 1996",Miami Heat,W,5,4,85,77,ATL,ATL,1997
10,"Sat, Nov 16, 1996",Chicago Bulls,L,5,5,69,97,ATL,ATL,1997
11,"Tue, Nov 19, 1996",Cleveland Cavaliers,L,5,6,63,73,ATL,ATL,1997
12,"Thu, Nov 21, 1996",Milwaukee Bucks,W,6,6,73,65,ATL,ATL,1997
13,"Sat, Nov 23, 1996",Toronto Raptors,W,7,6,91,88,ATL,ATL,1997
14,"Tue, Nov 26, 1996",Vancouver Grizzlies,W,8,6,101,80,ATL,ATL,1997
15,"Wed, Nov 27, 1996",Orlando Magic,L,8,7,75,79,ATL,ATL,1997
16,"Fri, Nov 29, 1996",Washington Bullets,W,9,7,110,81,ATL,ATL,1997
17,"Tue, Dec 3, 1996",Boston Celtics,W,10,7,105,95,ATL,ATL,1997
18,"Wed, Dec 4, 1996",Detroit Pistons,L,10,8,90,100,ATL,ATL,1997
19,"Sat, Dec 7, 1996",Toronto Raptors,W,11,8,101,75,ATL,ATL,1997
20,"Tue, Dec 10, 1996",Denver Nuggets,W,12,8,89,88,ATL,ATL,1997
21,"Sat, Dec 14, 1996",Philadelphia 76ers,W,13,8,106,81,ATL,ATL,1997
22,"Tue, Dec 17, 1996",Dallas Mavericks,W,14,8,109,73,ATL,ATL,1997
23,"Fri, Dec 20, 1996",New Jersey Nets,W,15,8,109,95,ATL,ATL,1997
24,"Sat, Dec 21, 1996",Charlotte Hornets,L,15,9,93,98,ATL,ATL,1997
25,"Mon, Dec 23, 1996",New York Knicks,L,15,10,76,82,ATL,ATL,1997
26,"Thu, Dec 26, 1996",Chicago Bulls,W,16,10,108,103,ATL,ATL,1997
27,"Sat, Dec 28, 1996",Washington Bullets,L,16,11,86,97,ATL,ATL,1997
28,"Fri, Jan 3, 1997",New Jersey Nets,W,17,11,95,85,ATL,ATL,1997
29,"Sat, Jan 4, 1997",New York Knicks,W,18,11,88,71,ATL,ATL,1997
30,"Tue, Jan 7, 1997",Phoenix Suns,W,19,11,105,103,ATL,ATL,1997
31,"Thu, Jan 9, 1997",Orlando Magic,W,20,11,97,92,ATL,ATL,1997
32,"Sat, Jan 11, 1997",San Antonio Spurs,W,21,11,87,82,ATL,ATL,1997
33,"Mon, Jan 13, 1997",Cleveland Cavaliers,W,22,11,93,79,ATL,ATL,1997
34,"Tue, Jan 14, 1997",Minnesota Timberwolves,W,23,11,95,93,ATL,ATL,1997
35,"Thu, Jan 16, 1997",Orlando Magic,W,24,11,78,67,ATL,ATL,1997
36,"Sat, Jan 18, 1997",Milwaukee Bucks,W,25,11,94,71,ATL,ATL,1997
37,"Mon, Jan 20, 1997",Charlotte Hornets,W,26,11,106,97,ATL,ATL,1997
38,"Tue, Jan 21, 1997",Miami Heat,L,26,12,91,94,ATL,ATL,1997
39,"Fri, Jan 24, 1997",Washington Bullets,W,27,12,117,105,ATL,ATL,1997
40,"Sat, Jan 25, 1997",Boston Celtics,W,28,12,95,90,ATL,ATL,1997
41,"Tue, Jan 28, 1997",Los Angeles Clippers,W,29,12,112,96,ATL,ATL,1997
42,"Thu, Jan 30, 1997",Utah Jazz,L,29,13,96,102,ATL,ATL,1997
43,"Fri, Jan 31, 1997",Vancouver Grizzlies,W,30,13,87,76,ATL,ATL,1997
44,"Sun, Feb 2, 1997",Denver Nuggets,L,30,14,104,115,ATL,ATL,1997
45,"Tue, Feb 4, 1997",Golden State Warriors,W,31,14,107,85,ATL,ATL,1997
46,"Wed, Feb 5, 1997",Phoenix Suns,L,31,15,81,99,ATL,ATL,1997
47,"Wed, Feb 12, 1997",Toronto Raptors,W,32,15,106,84,ATL,ATL,1997
48,"Fri, Feb 14, 1997",Chicago Bulls,L,32,16,88,89,ATL,ATL,1997
49,"Sat, Feb 15, 1997",San Antonio Spurs,W,33,16,109,89,ATL,ATL,1997
50,"Mon, Feb 17, 1997",Houston Rockets,L,33,17,98,127,ATL,ATL,1997
51,"Wed, Feb 19, 1997",Indiana Pacers,W,34,17,100,87,ATL,ATL,1997
52,"Fri, Feb 21, 1997",Houston Rockets,W,35,17,76,74,ATL,ATL,1997
53,"Sat, Feb 22, 1997",Charlotte Hornets,L,35,18,92,93,ATL,ATL,1997
54,"Mon, Feb 24, 1997",Golden State Warriors,W,36,18,106,100,ATL,ATL,1997
55,"Wed, Feb 26, 1997",Milwaukee Bucks,W,37,18,79,72,ATL,ATL,1997
56,"Fri, Feb 28, 1997",Los Angeles Lakers,W,38,18,86,75,ATL,ATL,1997
57,"Sun, Mar 2, 1997",Detroit Pistons,L,38,19,75,82,ATL,ATL,1997
58,"Tue, Mar 4, 1997",Cleveland Cavaliers,W,39,19,93,88,ATL,ATL,1997
59,"Thu, Mar 6, 1997",Philadelphia 76ers,W,40,19,117,104,ATL,ATL,1997
60,"Fri, Mar 7, 1997",Milwaukee Bucks,W,41,19,90,80,ATL,ATL,1997
61,"Sun, Mar 9, 1997",Boston Celtics,W,42,19,114,90,ATL,ATL,1997
62,"Tue, Mar 11, 1997",Utah Jazz,W,43,19,106,99,ATL,ATL,1997
63,"Wed, Mar 12, 1997",Indiana Pacers,L,43,20,82,92,ATL,ATL,1997
64,"Fri, Mar 14, 1997",Seattle SuperSonics,L,43,21,91,97,ATL,ATL,1997
65,"Sat, Mar 15, 1997",Chicago Bulls,L,43,22,79,99,ATL,ATL,1997
66,"Mon, Mar 17, 1997",Orlando Magic,W,44,22,112,107,ATL,ATL,1997
67,"Wed, Mar 19, 1997",Indiana Pacers,W,45,22,107,95,ATL,ATL,1997
68,"Fri, Mar 21, 1997",Dallas Mavericks,W,46,22,93,72,ATL,ATL,1997
69,"Sun, Mar 23, 1997",Toronto Raptors,W,47,22,90,79,ATL,ATL,1997
70,"Tue, Mar 25, 1997",Portland Trail Blazers,W,48,22,96,89,ATL,ATL,1997
71,"Thu, Mar 27, 1997",Los Angeles Clippers,W,49,22,103,88,ATL,ATL,1997
72,"Sat, Mar 29, 1997",Sacramento Kings,W,50,22,88,74,ATL,ATL,1997
73,"Wed, Apr 2, 1997",Charlotte Hornets,L,50,23,84,95,ATL,ATL,1997
74,"Fri, Apr 4, 1997",Detroit Pistons,W,51,23,103,89,ATL,ATL,1997
75,"Sat, Apr 5, 1997",New York Knicks,L,51,24,97,102,ATL,ATL,1997
76,"Wed, Apr 9, 1997",Philadelphia 76ers,W,52,24,116,101,ATL,ATL,1997
77,"Fri, Apr 11, 1997",Indiana Pacers,W,53,24,104,92,ATL,ATL,1997
78,"Sat, Apr 12, 1997",Minnesota Timberwolves,W,54,24,80,66,ATL,ATL,1997
79,"Tue, Apr 15, 1997",New Jersey Nets,W,55,24,109,101,ATL,ATL,1997
80,"Wed, Apr 16, 1997",New York Knicks,L,55,25,92,96,ATL,ATL,1997
81,"Sat, Apr 19, 1997",Philadelphia 76ers,W,56,25,136,104,ATL,ATL,1997
82,"Sun, Apr 20, 1997",New Jersey Nets,L,56,26,92,108,ATL,ATL,1997
1,"Fri, Oct 31, 1997",Orlando Magic,W,1,0,105,99,ATL,ATL,1998
2,"Sat, Nov 1, 1997",Toronto Raptors,W,2,0,90,85,ATL,ATL,1998
3,"Tue, Nov 4, 1997",Detroit Pistons,W,3,0,82,71,ATL,ATL,1998
4,"Wed, Nov 5, 1997",Philadelphia 76ers,W,4,0,93,88,ATL,ATL,1998
5,"Fri, Nov 7, 1997",Chicago Bulls,W,5,0,80,78,ATL,ATL,1998
6,"Sat, Nov 8, 1997",Cleveland Cavaliers,W,6,0,99,97,ATL,ATL,1998
7,"Tue, Nov 11, 1997",Seattle SuperSonics,W,7,0,89,87,ATL,ATL,1998
8,"Wed, Nov 12, 1997",Indiana Pacers,W,8,0,89,86,ATL,ATL,1998
9,"Fri, Nov 14, 1997",Sacramento Kings,W,9,0,104,103,ATL,ATL,1998
10,"Sun, Nov 16, 1997",Los Angeles Clippers,W,10,0,89,83,ATL,ATL,1998
11,"Tue, Nov 18, 1997",Washington Wizards,W,11,0,98,89,ATL,ATL,1998
12,"Thu, Nov 20, 1997",New York Knicks,L,11,1,79,100,ATL,ATL,1998
13,"Sat, Nov 22, 1997",Detroit Pistons,L,11,2,85,87,ATL,ATL,1998
14,"Wed, Nov 26, 1997",Toronto Raptors,W,12,2,109,104,ATL,ATL,1998
15,"Sat, Nov 29, 1997",Charlotte Hornets,W,13,2,98,80,ATL,ATL,1998
16,"Sun, Nov 30, 1997",San Antonio Spurs,W,14,2,108,96,ATL,ATL,1998
17,"Tue, Dec 2, 1997",Dallas Mavericks,W,15,2,112,79,ATL,ATL,1998
18,"Thu, Dec 4, 1997",Houston Rockets,L,15,3,87,94,ATL,ATL,1998
19,"Tue, Dec 9, 1997",Miami Heat,L,15,4,81,97,ATL,ATL,1998
20,"Thu, Dec 11, 1997",Phoenix Suns,L,15,5,78,94,ATL,ATL,1998
21,"Fri, Dec 12, 1997",Los Angeles Clippers,W,16,5,83,74,ATL,ATL,1998
22,"Sun, Dec 14, 1997",Sacramento Kings,W,17,5,93,89,ATL,ATL,1998
23,"Mon, Dec 15, 1997",Portland Trail Blazers,W,18,5,99,90,ATL,ATL,1998
24,"Wed, Dec 17, 1997",Cleveland Cavaliers,W,19,5,94,83,ATL,ATL,1998
25,"Fri, Dec 19, 1997",Los Angeles Lakers,L,19,6,96,98,ATL,ATL,1998
26,"Sat, Dec 20, 1997",Miami Heat,L,19,7,92,99,ATL,ATL,1998
27,"Mon, Dec 22, 1997",Utah Jazz,L,19,8,99,101,ATL,ATL,1998
28,"Fri, Dec 26, 1997",Milwaukee Bucks,L,19,9,94,99,ATL,ATL,1998
29,"Sat, Dec 27, 1997",Chicago Bulls,L,19,10,90,97,ATL,ATL,1998
30,"Fri, Jan 2, 1998",Los Angeles Lakers,L,19,11,106,116,ATL,ATL,1998
31,"Sat, Jan 3, 1998",Utah Jazz,L,19,12,82,97,ATL,ATL,1998
32,"Wed, Jan 7, 1998",Golden State Warriors,W,20,12,106,86,ATL,ATL,1998
33,"Fri, Jan 9, 1998",Washington Wizards,W,21,12,82,77,ATL,ATL,1998
34,"Sun, Jan 11, 1998",Washington Wizards,W,22,12,107,102,ATL,ATL,1998
35,"Tue, Jan 13, 1998",New York Knicks,W,23,12,91,89,ATL,ATL,1998
36,"Wed, Jan 14, 1998",Dallas Mavericks,W,24,12,108,82,ATL,ATL,1998
37,"Fri, Jan 16, 1998",Golden State Warriors,W,25,12,102,89,ATL,ATL,1998
38,"Sat, Jan 17, 1998",New Jersey Nets,L,25,13,81,97,ATL,ATL,1998
39,"Tue, Jan 20, 1998",Milwaukee Bucks,W,26,13,103,93,ATL,ATL,1998
40,"Wed, Jan 21, 1998",San Antonio Spurs,L,26,14,76,90,ATL,ATL,1998
41,"Fri, Jan 23, 1998",Boston Celtics,L,26,15,85,89,ATL,ATL,1998
42,"Sat, Jan 24, 1998",Portland Trail Blazers,L,26,16,77,92,ATL,ATL,1998
43,"Mon, Jan 26, 1998",Phoenix Suns,L,26,17,91,96,ATL,ATL,1998
44,"Tue, Jan 27, 1998",Minnesota Timberwolves,L,26,18,96,113,ATL,ATL,1998
45,"Thu, Jan 29, 1998",Philadelphia 76ers,W,27,18,109,99,ATL,ATL,1998
46,"Sat, Jan 31, 1998",Charlotte Hornets,W,28,18,103,83,ATL,ATL,1998
47,"Mon, Feb 2, 1998",Miami Heat,L,28,19,83,90,ATL,ATL,1998
